Date,Description,Amount,Balance,Status
2026-07-03,OPAL TOP UP TRANSPORTNSW,-29.38,17894.97,Posted
2026-07-04,MARY S NEWTOWN,-58.70,17836.27,Posted
2026-07-05,GUZMAN Y GOMEZ BROADWAY,-43.24,17793.03,Posted
2026-07-06,ANYTIME FITNESS NEWTOWN,-28.95,17764.08,Posted
2026-07-06,OPAL TOP UP TRANSPORTNSW,-24.68,17739.40,Posted
2026-07-07,WOOLWORTHS 1234 NEWTOWN,-117.12,17622.28,Posted
2026-07-08,7-ELEVEN 2410 ST PETERS,-78.46,17543.82,Posted
2026-07-08,PAYROLL ACME PTY LTD,3250.00,20793.82,Posted
2026-07-08,TELSTRA MOBILE,-65.00,20728.82,Posted
2026-07-08,WOOLWORTHS METRO 1188 SYDNEY,-76.70,20652.12,Posted
2026-07-09,THAI POTHONG NEWTOWN,-47.67,20604.45,Posted
2026-07-11,UBER* EATS SYDNEY,-58.48,20545.97,Posted
2026-07-12,GUZMAN Y GOMEZ BROADWAY,-43.07,20502.90,Posted
2026-07-12,WOOLWORTHS 1234 NEWTOWN,-44.80,20458.10,Posted
2026-07-13,THAI POTHONG NEWTOWN,-36.32,20421.78,Posted
2026-07-14,AGL ENERGY ONLINE,-286.22,20135.56,Posted
2026-07-14,OPAL TOP UP TRANSPORTNSW,-31.06,20104.50,Posted
2026-07-16,BP MARRICKVILLE 2204,-59.89,20044.61,Posted
2026-07-16,OPAL TOP UP TRANSPORTNSW,-32.67,20011.94,Posted
2026-07-17,GUZMAN Y GOMEZ BROADWAY,-52.81,19959.13,Posted
2026-07-18,MARY S NEWTOWN,-56.02,19903.11,Posted
2026-07-18,WOOLWORTHS METRO 1188 SYDNEY,-21.73,19881.38,Posted
2026-07-20,ANYTIME FITNESS NEWTOWN,-28.95,19852.43,Posted
2026-07-20,AUSSIE BROADBAND PTY LTD,-89.00,19763.43,Posted
2026-07-20,OPAL TOP UP TRANSPORTNSW,-29.46,19733.97,Posted
2026-07-21,OPAL TOP UP TRANSPORTNSW,-20.18,19713.79,Posted
2026-07-21,WOOLWORTHS 1234 NEWTOWN,-71.01,19642.78,Posted
2026-07-22,OPAL TOP UP TRANSPORTNSW,-48.51,19594.27,Posted
2026-07-22,PAYROLL ACME PTY LTD,3250.00,22844.27,Posted
2026-07-23,OPAL TOP UP TRANSPORTNSW,-23.10,22821.17,Posted
2026-07-25,7-ELEVEN 2410 ST PETERS,-59.45,22761.72,Posted
2026-07-25,MARY S NEWTOWN,-25.17,22736.55,Posted
2026-07-25,PAYMENT TO CREDIT CARD 4321,-509.08,22227.47,Posted
2026-07-27,WOOLWORTHS 1234 NEWTOWN,-152.21,22075.26,Posted
2026-07-28,OPAL TOP UP TRANSPORTNSW,-33.52,22041.74,Posted
2026-07-29,OPAL TOP UP TRANSPORTNSW,-48.58,21993.16,Posted
2026-08-01,RENT 22 KING ST NEWTOWN,-1950.00,20043.16,Posted
2026-08-01,WOOLWORTHS METRO 1188 SYDNEY,-149.02,19894.14,Posted
2026-08-02,TRANSFER TO SAVINGS,-800.00,19094.14,Posted
2026-08-02,WOOLWORTHS 1234 NEWTOWN,-120.00,18974.14,Posted
2026-08-03,7-ELEVEN 2410 ST PETERS,-84.79,18889.35,Posted
2026-08-03,ANYTIME FITNESS NEWTOWN,-28.95,18860.40,Posted
2026-08-03,OPAL TOP UP TRANSPORTNSW,-47.62,18812.78,Posted
2026-08-03,SYDNEY WATER CORPORATION,-172.60,18640.18,Posted
2026-08-04,UBER* EATS SYDNEY,-39.16,18601.02,Posted
2026-08-05,OPAL TOP UP TRANSPORTNSW,-40.70,18560.32,Posted
2026-08-05,PAYROLL ACME PTY LTD,3250.00,21810.32,Posted
2026-08-08,TELSTRA MOBILE,-65.00,21745.32,Posted
2026-08-11,OPAL TOP UP TRANSPORTNSW,-27.73,21717.59,Posted
2026-08-11,UBER* EATS SYDNEY,-25.40,21692.19,Posted
2026-08-13,OPAL TOP UP TRANSPORTNSW,-34.67,21657.52,Posted
2026-08-13,WOOLWORTHS 1234 NEWTOWN,-31.22,21626.30,Posted
2026-08-14,BP MARRICKVILLE 2204,-56.04,21570.26,Posted
2026-08-15,MARY S NEWTOWN,-49.72,21520.54,Posted
2026-08-16,THAI POTHONG NEWTOWN,-63.62,21456.92,Posted
2026-08-17,ANYTIME FITNESS NEWTOWN,-28.95,21427.97,Posted
2026-08-17,OPAL TOP UP TRANSPORTNSW,-33.57,21394.40,Posted
2026-08-18,WOOLWORTHS METRO 1188 SYDNEY,-141.06,21253.34,Posted
2026-08-19,PAYROLL ACME PTY LTD,3250.00,24503.34,Posted
2026-08-20,AUSSIE BROADBAND PTY LTD,-89.00,24414.34,Posted
2026-08-20,OPAL TOP UP TRANSPORTNSW,-42.75,24371.59,Posted
2026-08-21,MARY S NEWTOWN,-52.65,24318.94,Posted
2026-08-22,WOOLWORTHS METRO 1188 SYDNEY,-102.60,24216.34,Posted
2026-08-23,THAI POTHONG NEWTOWN,-47.88,24168.46,Posted
2026-08-23,WOOLWORTHS 1234 NEWTOWN,-140.20,24028.26,Posted
2026-08-24,7-ELEVEN 2410 ST PETERS,-76.42,23951.84,Posted
2026-08-24,UBER* EATS SYDNEY,-57.65,23894.19,Posted
2026-08-25,PAYMENT TO CREDIT CARD 4321,-1253.94,22640.25,Posted
2026-08-28,OPAL TOP UP TRANSPORTNSW,-28.25,22612.00,Posted
2026-08-29,MARY S NEWTOWN,-66.79,22545.21,Posted
2026-08-29,WOOLWORTHS 1234 NEWTOWN,-131.82,22413.39,Posted
2026-08-30,THAI POTHONG NEWTOWN,-17.81,22395.58,Posted
2026-08-31,ANYTIME FITNESS NEWTOWN,-28.95,22366.63,Posted
2026-08-31,WOOLWORTHS METRO 1188 SYDNEY,-30.81,22335.82,Posted
2026-09-01,GUZMAN Y GOMEZ BROADWAY,-48.52,22287.30,Posted
2026-09-01,OPAL TOP UP TRANSPORTNSW,-30.58,22256.72,Posted
2026-09-01,RENT 22 KING ST NEWTOWN,-1950.00,20306.72,Posted
2026-09-02,PAYROLL ACME PTY LTD,3250.00,23556.72,Posted
2026-09-02,TRANSFER TO SAVINGS,-800.00,22756.72,Posted
2026-09-03,OPAL TOP UP TRANSPORTNSW,-42.68,22714.04,Posted
2026-09-04,BP MARRICKVILLE 2204,-62.47,22651.57,Posted
2026-09-04,MCDONALDS NEWTOWN,-50.94,22600.63,Posted
2026-09-04,WOOLWORTHS 1234 NEWTOWN,-51.32,22549.31,Posted
2026-09-05,WOOLWORTHS METRO 1188 SYDNEY,-103.96,22445.35,Posted
2026-09-06,UBER* EATS SYDNEY,-60.81,22384.54,Posted
2026-09-08,TELSTRA MOBILE,-65.00,22319.54,Posted
2026-09-09,UBER* EATS SYDNEY,-31.40,,Pending
2026-09-09,WOOLWORTHS 1234 NEWTOWN,-52.85,,Pending
2026-09-09,WOOLWORTHS METRO 1188 SYDNEY,-106.67,22212.87,Posted
